# postcode distance_miles
GU21 67.7164291801 
GU22 67.6500674768 
GU23 67.7536025517 
GU24 68.2264540383 
GU25 62.709971461 
GU26 83.8535159485 
GU27 85.1251902169 
GU28 89.2735373076 
GU29 91.7383972845 
GU3 73.1844375993 
GU30 87.3478643855 
GU31 94.160164619 
GU32 94.9463054412 
GU33 90.7468972042 
GU34 87.654703985 
GU35 85.7635989866 
GU4 71.7372291123 
GU46 72.5317126445 
GU47 70.9722174336 
GU5 73.7735193932 
GU51 75.9382333453 
GU52 76.9658543284 
GU6 77.1670644928 
GU7 76.4066296574 
GU8 79.3392643113 
GU9 78.5481011016 
HA0 48.168734471 
HA1 46.9517954272 
HA2 47.7509739354 
HA3 45.8946182874 
HA4 49.116498559 
HA5 47.1617837663 
HA6 47.0331150799 
HA7 44.5335274402 
HA8 43.7767818287 
HA9 47.2909283525 
HD1 131.074964817 
HD2 131.853513087 
HD3 132.451534714 
HD4 130.177160063 
HD5 129.975084425 
HD6 133.86090894 
HD7 132.258868932 
HD8 125.76876317 
HD9 127.744967103 
HG1 145.092105807 
HG2 144.172106094 
HG3 148.661912484 
HG4 155.141620436 
HG5 144.340724152 
HP1 41.0562804912 
HP10 54.7041975454 
HP11 55.2459806836 
HP12 56.2591577479 
HP13 54.7217131669 
HP14 56.7631391981 
HP15 52.7223012423 
HP16 50.7552603777 
HP17 53.0388606402 
HP18 55.9313307518 
HP19 49.7513949712 
HP2 39.634508531 
HP20 49.0414851827 
HP21 49.5782563749 
HP22 48.1600250285 
HP23 44.8379866994 
HP27 53.8269055875 
HP3 41.4246489988 
HP4 42.947554 
HP5 46.8151512971 
HP6 48.1652821988 
HP7 49.1110971294 
HP8 49.2694397246 
HP9 52.8083612878 
HR1 121.9181993 
HR2 127.118403611 
HR3 139.016728625 
HR4 125.912896663 
HR5 136.713691933 
HR6 125.835675957 
HR7 115.218872437 
HR8 112.49354142 
HR9 119.6190993 
HS1 491.436537879 
HS2 495.294179152 
HS3 483.139873935 
HS4 478.951775832 
